lift_angle_deg,52.000000
session_id,source_id,history_version,latest_time_s,bph,active_position,rate_valid,rate_s_per_day,amplitude_valid,amplitude_deg,beat_error_valid,beat_error_ms,diff_tic_tac_valid,diff_tic_tac_ms,diff_period_valid,diff_period_ms,avg_period_valid,avg_period_ms,rate_count,rate_mean_s_per_day,rate_sigma_s_per_day,amplitude_count,amplitude_mean_deg,amplitude_sigma_deg,missed_beat_detections,sync_loss_count
1,210,2,2.062758,21600,CH,false,,true,212.358931,false,,false,,true,-1.328074,true,-1.328074,0,,,1,212.358931,0.000000,0,0
1,243,3,2.395811,21600,CH,false,,true,212.544056,true,-1.277776,true,-2.555552,true,-0.479259,true,-0.479259,0,,,2,212.451494,0.092563,0,0
1,278,4,2.729151,21600,CH,false,,true,216.821440,true,-1.326561,true,-2.653122,true,-0.296821,true,-0.296821,0,,,3,213.908142,2.061398,0,0
1,311,5,3.062360,21600,CH,false,,true,214.049530,true,-1.273076,true,-2.546151,true,-0.233705,true,-0.233705,0,,,4,213.943489,1.786273,0,0
1,344,6,3.395415,21600,CH,false,,true,215.050397,true,-1.293559,true,-2.587119,true,-0.194101,true,-0.194101,0,,,5,214.164871,1.657907,0,0
1,377,7,3.728561,21600,CH,true,25.145858,true,220.093483,true,-1.343996,true,-2.687992,true,-0.167517,true,-0.167517,1,25.145858,0.000000,6,215.152973,2.678110,0,0
1,410,8,4.061876,21600,CH,true,25.552353,true,217.806663,true,-1.364112,true,-2.728225,true,-0.151766,true,-0.151766,3,25.281356,0.191624,7,215.532072,2.647633,0,0
1,443,9,4.394998,21600,CH,true,25.258965,true,216.868515,true,-1.393248,true,-2.786496,true,-0.135968,true,-0.135968,5,25.331077,0.185331,8,215.699127,2.515764,0,0
1,477,10,4.728265,21600,CH,true,24.936669,true,219.849884,true,-1.362763,true,-2.725526,true,-0.123916,true,-0.123916,7,25.264431,0.207504,9,216.160322,2.706925,0,0
1,511,11,5.061511,21600,CH,true,24.955946,true,216.584469,true,-1.353229,true,-2.706458,true,-0.119895,true,-0.119895,9,25.193737,0.225836,10,216.202737,2.571165,0,0
1,544,12,5.394718,21600,CH,true,25.553757,true,217.075973,true,-1.412604,true,-2.825207,true,-0.113947,true,-0.113947,11,25.204849,0.241928,11,216.282122,2.464330,0,0
1,577,13,5.728042,21600,CH,true,25.731667,true,216.938233,true,-1.378079,true,-2.756158,true,-0.105868,true,-0.105868,13,25.272212,0.275136,12,216.336798,2.366375,0,0
1,610,14,6.061237,21600,CH,true,26.085407,true,215.752576,true,-1.302544,true,-2.605088,true,-0.052054,true,-0.103095,15,25.357056,0.341419,13,216.291858,2.278863,0,0
1,643,15,6.394409,21600,CH,true,26.767601,true,214.200069,true,-1.326555,true,-2.653110,true,-0.055910,true,-0.102948,17,25.482873,0.485043,14,216.142444,2.261081,0,0
1,679,16,6.727685,21600,CH,true,27.116082,true,213.875655,true,-1.429883,true,-2.859766,true,-0.058248,true,-0.099382,19,25.636449,0.643563,15,215.991325,2.256408,0,0
1,712,17,7.060789,21600,CH,true,27.912470,true,214.836790,true,-1.377765,true,-2.755531,true,-0.059073,true,-0.098506,21,25.815289,0.832873,16,215.919167,2.202559,0,0
1,745,18,7.394175,21600,CH,true,28.610719,true,213.880628,true,-1.388785,true,-2.777571,true,-0.062290,true,-0.098238,23,26.028012,1.057870,17,215.799253,2.189970,0,0
1,778,19,7.727440,21600,CH,true,29.217807,true,212.976930,true,-1.433911,true,-2.867822,true,-0.061334,true,-0.094706,25,26.258912,1.284544,18,215.642457,2.224291,0,0
1,811,20,8.060395,21600,CH,true,29.718706,true,213.820123,true,-1.333866,true,-2.667732,true,-0.060545,true,-0.092596,27,26.496641,1.496300,19,215.546545,2.202875,0,0
1,844,21,8.393945,21600,CH,true,30.128379,true,210.954091,true,-1.320709,true,-2.641418,true,-0.064055,true,-0.091714,29,26.732979,1.685660,20,215.316922,2.368931,0,0
1,878,22,8.727040,21600,CH,true,30.579192,true,212.706226,true,-1.350073,true,-2.700146,true,-0.068750,true,-0.091624,31,26.966579,1.858134,21,215.192603,2.377752,0,0
1,910,23,9.060310,21600,CH,true,30.780724,true,212.324370,true,-1.406129,true,-2.812257,true,-0.063258,true,-0.088284,33,27.191633,2.007258,22,215.062229,2.398680,0,0
1,945,24,9.393474,21600,CH,true,30.900379,true,214.277562,true,-1.335109,true,-2.670218,true,-0.062612,true,-0.086568,35,27.400142,2.125186,23,215.028113,2.351406,0,0
1,978,25,9.726729,21600,CH,true,30.969356,true,213.789682,true,-1.339078,true,-2.678156,true,-0.066851,true,-0.085944,37,27.591208,2.216125,24,214.976512,2.315162,0,0
1,1011,26,10.059727,21600,CH,true,31.088340,true,215.866900,true,-1.373411,true,-2.746821,true,-0.067214,true,-0.085520,39,27.767498,2.287897,25,215.012127,2.275086,0,0
1,1044,27,10.392996,21600,CH,true,31.097221,true,211.781083,true,-1.419754,true,-2.839508,true,-0.062794,true,-0.084052,41,27.929707,2.343547,26,214.887856,2.315820,0,0
